"location","genotype","id","block","mean_DL","mean_PP","mean_Rad","mean_SWE","mean_Tmax","mean_Tmin","mean_VPD","mean_Tmean","mean_ET0_HS","mean_DT","mean_TT","total_GDD","total_PP","total_Tmean","HTC"
"ea","g1","OAC Constellation",1,15.1727802168022,3.49780487804878,19.9710175698366,0,23.9060975609756,12.5453658536585,1.46824658536585,18.2257317073171,4.89987596366484,11.3607317073171,13.2257317073171,168641.305,44600.51,232396.305,1.91915744959887
"ea","g1","OAC Constellation",2,15.1727802168022,3.49780487804878,19.9710175698366,0,23.9060975609756,12.5453658536585,1.46824658536585,18.2257317073171,4.89987596366484,11.3607317073171,13.2257317073171,168641.305,44600.51,232396.305,1.91915744959887
"ea","g1","OAC Constellation",3,15.1748971527778,3.58525,19.8671823119875,0,23.9415,12.6575,1.4780285,18.2995,4.89510868859294,11.284,13.2995,165445.78,44600.51,227645.78,1.9592065356977
"ea","g1","OAC Constellation",4,15.1748971527778,3.58525,19.8671823119875,0,23.9415,12.6575,1.4780285,18.2995,4.89510868859294,11.284,13.2995,165445.78,44600.51,227645.78,1.9592065356977
"ea","g2","OAC Virgo",1,15.155335290404,3.45068181818182,19.8545810649432,0,23.9638636363636,12.7325,1.48703818181818,18.3481818181818,4.87857676255993,11.2313636363636,13.3481818181818,182656.52,47219.13,251076.52,1.88066689788436
"ea","g2","OAC Virgo",2,15.1568988372093,3.53093023255814,19.755282301714,0,23.9981395348837,12.8411627906977,1.49657465116279,18.4196511627907,4.87364675781619,11.156976744186,13.4196511627907,179460.995,47219.13,246325.995,1.91693653769672
"ea","g2","OAC Virgo",3,15.1580941137566,3.615,19.6599348846619,0,24.0038095238095,12.9192857142857,1.50383619047619,18.4615476190476,4.86419280025803,11.0845238095238,13.4615476190476,175834.735,47219.13,241144.735,1.95812402870832
"ea","g2","OAC Virgo",4,15.1568988372093,3.53093023255814,19.755282301714,0,23.9981395348837,12.8411627906977,1.49657465116279,18.4196511627907,4.87364675781619,11.156976744186,13.4196511627907,179460.995,47219.13,246325.995,1.91693653769672
"ea","g3","OAC Moon",1,15.1727802168022,3.49780487804878,19.9710175698366,0,23.9060975609756,12.5453658536585,1.46824658536585,18.2257317073171,4.89987596366484,11.3607317073171,13.2257317073171,168641.305,44600.51,232396.305,1.91915744959887
"ea","g3","OAC Moon",2,15.1727802168022,3.49780487804878,19.9710175698366,0,23.9060975609756,12.5453658536585,1.46824658536585,18.2257317073171,4.89987596366484,11.3607317073171,13.2257317073171,168641.305,44600.51,232396.305,1.91915744959887
"ea","g3","OAC Moon",3,15.155335290404,3.45068181818182,19.8545810649432,0,23.9638636363636,12.7325,1.48703818181818,18.3481818181818,4.87857676255993,11.2313636363636,13.3481818181818,182656.52,47219.13,251076.52,1.88066689788436
"ea","g3","OAC Moon",4,15.155335290404,3.45068181818182,19.8545810649432,0,23.9638636363636,12.7325,1.48703818181818,18.3481818181818,4.87857676255993,11.2313636363636,13.3481818181818,182656.52,47219.13,251076.52,1.88066689788436
"oa","g1","OAC Constellation",1,15.4103122053872,3.38,19.0181051945606,0,24.9345454545455,13.5939393939394,1.5826696969697,19.2642424242424,5.05295183389864,11.3406060606061,14.2642424242424,140745.28,33350.46,190080.28,1.75454602655257
"oa","g1","OAC Constellation",2,15.3997138888889,3.1541935483871,19.3359635017806,0,24.9548387096774,13.0003225806452,1.51328290322581,18.9775806451613,5.13641352492585,11.9545161290323,13.9775806451613,129558.195,29236.22,175903.195,1.6620630455291
"oa","g1","OAC Constellation",3,15.4135956228956,3.38,19.1103850246758,0,24.9787878787879,13.6457575757576,1.58721121212121,19.3122727272727,5.06014997863798,11.3330303030303,14.3122727272727,141219.195,33350.46,190554.195,1.75018240873679
"oa","g1","OAC Constellation",4,15.415378125,3.485625,18.9088574695719,0,24.7284375,13.5115625,1.5748821875,19.12,5.00591019215277,11.216875,14.12,135100.16,33350.46,182940.16,1.82302562761506
"oa","g2","OAC Virgo",1,15.4103122053872,3.38,19.0181051945606,0,24.9345454545455,13.5939393939394,1.5826696969697,19.2642424242424,5.05295183389864,11.3406060606061,14.2642424242424,140745.28,33350.46,190080.28,1.75454602655257
"oa","g2","OAC Virgo",2,15.415378125,3.485625,18.9088574695719,0,24.7284375,13.5115625,1.5748821875,19.12,5.00591019215277,11.216875,14.12,135100.16,33350.46,182940.16,1.82302562761506
"oa","g2","OAC Virgo",3,15.4061535493827,3.17916666666667,19.1253793857833,0,25.5372222222222,14.2730555555556,1.65774027777778,19.9051388888889,5.1193104060173,11.2641666666667,14.9051388888889,160438.915,34220.55,214258.915,1.59715874599664
"oa","g2","OAC Virgo",4,15.4180717881944,3.485625,19.1393668879344,0,25.073125,13.7184375,1.59494,19.39578125,5.07675701831693,11.3546875,14.39578125,137738.835,33350.46,185578.835,1.79710471832631
"oa","g3","OAC Moon",1,15.4135956228956,3.38,19.1103850246758,0,24.9787878787879,13.6457575757576,1.58721121212121,19.3122727272727,5.06014997863798,11.3330303030303,14.3122727272727,141219.195,33350.46,190554.195,1.75018240873679
"oa","g3","OAC Moon",2,15.4015936186186,3.09324324324324,19.1662895170892,0,25.5578378378378,14.1618918918919,1.64501756756757,19.8598648648649,5.14437279165346,11.3959459459459,14.8598648648649,164394.685,34220.55,219709.685,1.55753488973415
"oa","g3","OAC Moon",3,15.3984233918129,3.01184210526316,19.1897540969158,0,25.6007894736842,14.2468421052632,1.65395815789474,19.9238157894737,5.14163641303424,11.3539473684211,14.9238157894737,169564.395,34220.55,226374.395,1.51167935755278
