"location","genotype","id","block","mean_DL","mean_PP","mean_Rad","mean_SWE","mean_Tmax","mean_Tmin","mean_VPD","mean_Tmean","mean_ET0_HS","mean_DT","mean_TT","total_GDD","total_PP","total_Tmean","HTC"
"ea","g1","OAC Constellation",1,15.1727802168022,3.49780487804878,19.9710175698366,0,23.9060975609756,12.5453658536585,1.46824658536585,18.2257317073171,4.89987596366484,11.3607317073171,13.2257317073171,542.255,143.41,747.255,1.91915744959887
"ea","g1","OAC Constellation",2,15.1727802168022,3.49780487804878,19.9710175698366,0,23.9060975609756,12.5453658536585,1.46824658536585,18.2257317073171,4.89987596366484,11.3607317073171,13.2257317073171,542.255,143.41,747.255,1.91915744959887
"ea","g1","OAC Constellation",3,15.1748971527778,3.58525,19.8671823119875,0,23.9415,12.6575,1.4780285,18.2995,4.89510868859294,11.284,13.2995,531.98,143.41,731.98,1.9592065356977
"ea","g1","OAC Constellation",4,15.1748971527778,3.58525,19.8671823119875,0,23.9415,12.6575,1.4780285,18.2995,4.89510868859294,11.284,13.2995,531.98,143.41,731.98,1.9592065356977
"ea","g2","OAC Virgo",1,15.155335290404,3.45068181818182,19.8545810649432,0,23.9638636363636,12.7325,1.48703818181818,18.3481818181818,4.87857676255993,11.2313636363636,13.3481818181818,587.32,151.83,807.32,1.88066689788436
"ea","g2","OAC Virgo",2,15.1568988372093,3.53093023255814,19.755282301714,0,23.9981395348837,12.8411627906977,1.49657465116279,18.4196511627907,4.87364675781619,11.156976744186,13.4196511627907,577.045,151.83,792.045,1.91693653769672
"ea","g2","OAC Virgo",3,15.1580941137566,3.615,19.6599348846619,0,24.0038095238095,12.9192857142857,1.50383619047619,18.4615476190476,4.86419280025803,11.0845238095238,13.4615476190476,565.385,151.83,775.385,1.95812402870832
"ea","g2","OAC Virgo",4,15.1568988372093,3.53093023255814,19.755282301714,0,23.9981395348837,12.8411627906977,1.49657465116279,18.4196511627907,4.87364675781619,11.156976744186,13.4196511627907,577.045,151.83,792.045,1.91693653769672
"ea","g3","OAC Moon",1,15.170296957672,3.41452380952381,19.9207066983643,0,23.9192857142857,12.5907142857143,1.47244880952381,18.255,4.89670239679481,11.3285714285714,13.255,556.71,143.41,766.71,1.87045949576763
"ea","g3","OAC Moon",2,15.170296957672,3.41452380952381,19.9207066983643,0,23.9192857142857,12.5907142857143,1.47244880952381,18.255,4.89670239679481,11.3285714285714,13.255,556.71,143.41,766.71,1.87045949576763
"ea","g3","OAC Moon",3,15.1534052469136,3.374,19.8102117294556,0,23.9748888888889,12.7706666666667,1.49054266666667,18.3727777777778,4.87608808239468,11.2042222222222,13.3727777777778,601.775,151.83,826.775,1.83641256690151
"ea","g3","OAC Moon",4,15.1568988372093,3.53093023255814,19.755282301714,0,23.9981395348837,12.8411627906977,1.49657465116279,18.4196511627907,4.87364675781619,11.156976744186,13.4196511627907,577.045,151.83,792.045,1.91693653769672
"oa","g1","OAC Constellation",1,15.3900437908497,3.985,19.3198667200265,0,26.7955882352941,15.5717647058824,1.78275882352941,21.1836764705882,5.28148347090141,11.2238235294118,16.1836764705882,550.245,135.49,720.245,1.8811654367611
"oa","g1","OAC Constellation",2,15.4180717881944,3.485625,19.1393668879344,0,25.073125,13.7184375,1.59494,19.39578125,5.07675701831693,11.3546875,14.39578125,460.665,111.54,620.665,1.79710471832631
"oa","g1","OAC Constellation",3,15.4135956228956,3.38,19.1103850246758,0,24.9787878787879,13.6457575757576,1.58721121212121,19.3122727272727,5.06014997863798,11.3330303030303,14.3122727272727,472.305,111.54,637.305,1.75018240873679
"oa","g1","OAC Constellation",4,15.4221568996416,3.59806451612903,18.9064338757387,0,25.13,13.9870967741935,1.61819161290323,19.5585483870968,5.06318522681835,11.1429032258065,14.5585483870968,451.315,111.54,606.315,1.8396378120284
"oa","g2","OAC Virgo",1,15.4024834084084,3.09324324324324,19.0999087375297,0,25.4405405405405,14.1932432432432,1.64914972972973,19.8168918918919,5.10334863041984,11.2472972972973,14.8168918918919,548.225,114.45,733.225,1.56091240751475
"oa","g2","OAC Virgo",2,15.4135956228956,3.38,19.1103850246758,0,24.9787878787879,13.6457575757576,1.58721121212121,19.3122727272727,5.06014997863798,11.3330303030303,14.3122727272727,472.305,111.54,637.305,1.75018240873679
"oa","g2","OAC Virgo",3,15.408731127451,3.28058823529412,19.21049230025,0,25.1714705882353,13.7217647058824,1.59440705882353,19.4466176470588,5.10421275484765,11.4497058823529,14.4466176470588,491.185,111.54,661.185,1.68697112003448
"oa","g2","OAC Virgo",4,15.4135956228956,3.38,19.1103850246758,0,24.9787878787879,13.6457575757576,1.58721121212121,19.3122727272727,5.06014997863798,11.3330303030303,14.3122727272727,472.305,111.54,637.305,1.75018240873679
"oa","g3","OAC Moon",1,15.4135956228956,3.38,19.1103850246758,0,24.9787878787879,13.6457575757576,1.58721121212121,19.3122727272727,5.06014997863798,11.3330303030303,14.3122727272727,472.305,111.54,637.305,1.75018240873679
"oa","g3","OAC Moon",2,15.4088317460317,3.27,19.0635325767171,0,25.3248571428571,13.9857142857143,1.62678628571429,19.6552857142857,5.10648970342497,11.3391428571429,14.6552857142857,512.935,114.45,687.935,1.66367462042199
"oa","g3","OAC Moon",3,15.3984233918129,3.01184210526316,19.1897540969158,0,25.6007894736842,14.2468421052632,1.65395815789474,19.9238157894737,5.14163641303424,11.3539473684211,14.9238157894737,567.105,114.45,757.105,1.51167935755278
"oa","g3","OAC Moon",4,15.4129044934641,3.36617647058824,19.0894316113147,0,25.4238235294118,14.0641176470588,1.63522441176471,19.7439705882353,5.12348279149889,11.3597058823529,14.7439705882353,501.295,114.45,671.295,1.70491363707461
"pn","g1","OAC Constellation",1,15.2252032539683,3.47628571428571,19.4752126443686,0,23.4065714285714,12.1788571428571,1.44338085714286,17.7927142857143,4.81843104183372,11.2277142857143,12.7927142857143,447.745,121.67,622.745,1.95376919927097
"pn","g1","OAC Constellation",2,15.2252032539683,3.47628571428571,19.4752126443686,0,23.4065714285714,12.1788571428571,1.44338085714286,17.7927142857143,4.81843104183372,11.2277142857143,12.7927142857143,447.745,121.67,622.745,1.95376919927097
"pn","g1","OAC Constellation",3,15.2252032539683,3.47628571428571,19.4752126443686,0,23.4065714285714,12.1788571428571,1.44338085714286,17.7927142857143,4.81843104183372,11.2277142857143,12.7927142857143,447.745,121.67,622.745,1.95376919927097
"pn","g1","OAC Constellation",4,15.2252032539683,3.47628571428571,19.4752126443686,0,23.4065714285714,12.1788571428571,1.44338085714286,17.7927142857143,4.81843104183372,11.2277142857143,12.7927142857143,447.745,121.67,622.745,1.95376919927097
