location,latitude,longitude,Start,End
ea,43.6388,-80.403454,9/24/2022,7/31/2023
oa,45.3744,-75.726004,9/29/2022,7/24/2023
wr,45.0554,-75.342,9/30/2022,7/23/2023
pn,43.873,-80.83395,10/2/2022,7/31/2023
